"field","checkoutHits","sample"
"google_analytics_id","10","resources\views\index.blade.php:5057; resources\views\index_two.blade.php:5608; resources\views\checkout_templates\template1\index.blade.php:5057; resources\views\checkout_templates\template1\index_two.blade.php:5608"
"slug","185","resources\views\index.blade.php:5102; resources\views\index.blade.php:5197; resources\views\index.blade.php:5506; resources\views\index.blade.php:5509"
"logo","400","resources\views\index.blade.php:697; resources\views\index.blade.php:816; resources\views\index.blade.php:2633; resources\views\index.blade.php:2634"
"logo_width","0",""
"logo_height","0",""
"location","954","resources\views\index.blade.php:1763; resources\views\index.blade.php:2232; resources\views\index.blade.php:2246; resources\views\index.blade.php:2253"
"lat","2451","resources\views\index.blade.php:58; resources\views\index.blade.php:92; resources\views\index.blade.php:142; resources\views\index.blade.php:242"
"long","15","resources\views\index.blade.php:5148; resources\views\index.blade.php:11197; resources\views\index_two.blade.php:11968; resources\views\checkout_templates\template1\index.blade.php:5149"
"phone","1242","resources\views\index.blade.php:5291; resources\views\index.blade.php:5292; resources\views\index.blade.php:5536; resources\views\index.blade.php:5537"
"email","180","resources\views\index.blade.php:913; resources\views\index.blade.php:3439; resources\views\index.blade.php:3794; resources\views\index.blade.php:5294"
"reservation","899","resources\views\index.blade.php:1491; resources\views\index.blade.php:3735; resources\views\index.blade.php:5259; resources\views\index.blade.php:5271"
"description","210","resources\views\index.blade.php:859; resources\views\index.blade.php:879; resources\views\index.blade.php:5315; resources\views\index.blade.php:5317"
"text_description","10","resources\views\index_two.blade.php:5808; resources\views\index_two.blade.php:5812; resources\views\checkout_templates\template1\index_two.blade.php:5809; resources\views\checkout_templates\template1\index_two.blade.php:5813"
"secondary_description","20","resources\views\index.blade.php:5320; resources\views\index.blade.php:5323; resources\views\index_two.blade.php:5816; resources\views\index_two.blade.php:5819"
"description_label","10","resources\views\index.blade.php:5315; resources\views\index_two.blade.php:5803; resources\views\checkout_templates\template1\index.blade.php:5316; resources\views\checkout_templates\template1\index_two.blade.php:5804"
"hero_title","10","resources\views\index.blade.php:5240; resources\views\index_two.blade.php:5740; resources\views\checkout_templates\template1\index.blade.php:5241; resources\views\checkout_templates\template1\index_two.blade.php:5741"
"hero_subtitle","10","resources\views\index.blade.php:5251; resources\views\index_two.blade.php:5751; resources\views\checkout_templates\template1\index.blade.php:5252; resources\views\checkout_templates\template1\index_two.blade.php:5752"
"hero_badge_1_label","10","resources\views\index.blade.php:5222; resources\views\index_two.blade.php:5722; resources\views\checkout_templates\template1\index.blade.php:5223; resources\views\checkout_templates\template1\index_two.blade.php:5723"
"hero_badge_1_sub","10","resources\views\index.blade.php:5223; resources\views\index_two.blade.php:5723; resources\views\checkout_templates\template1\index.blade.php:5224; resources\views\checkout_templates\template1\index_two.blade.php:5724"
"hero_badge_2_label","10","resources\views\index.blade.php:5229; resources\views\index_two.blade.php:5729; resources\views\checkout_templates\template1\index.blade.php:5230; resources\views\checkout_templates\template1\index_two.blade.php:5730"
"hero_badge_2_sub","10","resources\views\index.blade.php:5230; resources\views\index_two.blade.php:5730; resources\views\checkout_templates\template1\index.blade.php:5231; resources\views\checkout_templates\template1\index_two.blade.php:5731"
"guest_list_button_text","10","resources\views\index.blade.php:5483; resources\views\index_two.blade.php:5978; resources\views\checkout_templates\template1\index.blade.php:5484; resources\views\checkout_templates\template1\index_two.blade.php:5979"
"guest_tab_subtitle","10","resources\views\index.blade.php:5484; resources\views\index_two.blade.php:5979; resources\views\checkout_templates\template1\index.blade.php:5485; resources\views\checkout_templates\template1\index_two.blade.php:5980"
"guest_tab_color","10","resources\views\index.blade.php:5382; resources\views\index_two.blade.php:5877; resources\views\checkout_templates\template1\index.blade.php:5383; resources\views\checkout_templates\template1\index_two.blade.php:5878"
"guest_tab_icon","10","resources\views\index.blade.php:5481; resources\views\index_two.blade.php:5976; resources\views\checkout_templates\template1\index.blade.php:5482; resources\views\checkout_templates\template1\index_two.blade.php:5977"
"package_button_text","20","resources\views\index.blade.php:5476; resources\views\index.blade.php:5495; resources\views\index_two.blade.php:5971; resources\views\index_two.blade.php:5990"
"package_tab_subtitle","20","resources\views\index.blade.php:5477; resources\views\index.blade.php:5496; resources\views\index_two.blade.php:5972; resources\views\index_two.blade.php:5991"
"package_tab_color","10","resources\views\index.blade.php:5383; resources\views\index_two.blade.php:5878; resources\views\checkout_templates\template1\index.blade.php:5384; resources\views\checkout_templates\template1\index_two.blade.php:5879"
"package_tab_icon","20","resources\views\index.blade.php:5474; resources\views\index.blade.php:5493; resources\views\index_two.blade.php:5969; resources\views\index_two.blade.php:5988"
