"field","base","count","sample"
"' + name + '","' + name + '","7","resources\views\admin\event\create.blade.php:456; resources\views\admin\event\edit.blade.php:464; resources\views\affiliate\settings.blade.php:230; resources\views\entertainer\settings.blade.php:134; resources\views\feed\index.blade.php:1495; resources\views\feed\profile.blade.php:1498"
"back_link","back_link","30","app\Http\Controllers\AffiliatePublicController.php:110; app\Http\Controllers\EntertainerPublicController.php:107; app\Http\Controllers\WebsiteController.php:249; app\Http\Controllers\WebsiteController.php:522; resources\views\index.blade.php:5105; resources\views\index.blade.php:5106"
"back_text","back_text","17","app\Http\Controllers\AffiliatePublicController.php:111; app\Http\Controllers\EntertainerPublicController.php:108; app\Http\Controllers\WebsiteController.php:248; app\Http\Controllers\WebsiteController.php:521; resources\views\index.blade.php:5107; resources\views\index_two.blade.php:5667"
"description","description","604","app\Console\Commands\EnsureWebsiteAdminUsers.php:23; app\Console\Commands\EnsureWebsiteAdminUsers.php:27; app\Console\Commands\EnsureWebsiteAdminUsers.php:77; app\Console\Commands\EnsureWebsiteAdminUsers.php:94; app\Console\Commands\EnsureWebsiteAdminUsers.php:107; app\Console\Commands\GrantSidebarPermissionsToAffiliatesAndEntertainers.php:12"
"description_label","description_label","19","app\Http\Controllers\WebsiteController.php:222; app\Http\Controllers\WebsiteController.php:541; app\Models\Website.php:60; resources\views\index.blade.php:5315; resources\views\index_two.blade.php:5803; resources\views\affiliate\public-page-clone.blade.php:4839"
"domain","domain","64","app\Http\Controllers\WebsiteController.php:158; app\Http\Controllers\WebsiteController.php:203; app\Http\Controllers\WebsiteController.php:456; app\Http\Middleware\RestrictMrRollCallDomain.php:9; app\Http\Middleware\RestrictMrRollCallDomain.php:26; app\Models\Website.php:16"
"email","email","949","app\Console\Commands\EnsureWebsiteAdminUsers.php:144; app\Console\Commands\EnsureWebsiteAdminUsers.php:163; app\Console\Commands\EnsureWebsiteAdminUsers.php:167; app\Console\Commands\EnsureWebsiteAdminUsers.php:173; app\Console\Commands\EnsureWebsiteAdminUsers.php:184; app\Console\Commands\EnsureWebsiteAdminUsers.php:188"
"emails","emails","83","app\Http\Controllers\AffiliateRegistrationController.php:119; app\Http\Controllers\AffiliateRegistrationController.php:120; app\Http\Controllers\AffiliateRegistrationController.php:121; app\Http\Controllers\AffiliateRegistrationController.php:123; app\Http\Controllers\CustomInvoiceController.php:318; app\Http\Controllers\CustomInvoiceController.php:695"
"encryption","encryption","35","app\Http\Controllers\AffiliateAdminController.php:279; app\Http\Controllers\AffiliateRegistrationController.php:157; app\Http\Controllers\CustomInvoiceController.php:340; app\Http\Controllers\CustomInvoiceController.php:360; app\Http\Controllers\CustomInvoiceController.php:362; app\Http\Controllers\EntertainerAdminController.php:268"
"existing_gallery_images","existing_gallery_images","14","app\Http\Controllers\AffiliatePortalController.php:194; app\Http\Controllers\AffiliatePortalController.php:232; app\Http\Controllers\EntertainerPortalController.php:167; app\Http\Controllers\EntertainerPortalController.php:198; app\Http\Controllers\EventController.php:329; app\Http\Controllers\WebsiteController.php:564"
"footer_text","footer_text","4","app\Http\Controllers\WebsiteController.php:250; app\Http\Controllers\WebsiteController.php:523; app\Models\Website.php:90; database\migrations\2025_08_21_123341_add_links_in_websites_table.php:17"
"from_address","from_address","6","app\Http\Controllers\WebsiteController.php:364; app\Http\Controllers\WebsiteController.php:676; resources\views\admin\transaction\create.blade.php:235; resources\views\admin\transaction\create.blade.php:236; resources\views\admin\transaction\edit.blade.php:226; resources\views\admin\transaction\edit.blade.php:227"
"from_name","from_name","14","app\Http\Controllers\AffiliateAdminController.php:281; app\Http\Controllers\AffiliateRegistrationController.php:159; app\Http\Controllers\CustomInvoiceController.php:342; app\Http\Controllers\EntertainerAdminController.php:270; app\Http\Controllers\EntertainerRegistrationController.php:205; app\Http\Controllers\SocialSignupController.php:283"
"gallery_images[]","gallery_images","131","app\Http\Controllers\AffiliatePortalController.php:192; app\Http\Controllers\AffiliatePortalController.php:193; app\Http\Controllers\AffiliatePortalController.php:194; app\Http\Controllers\AffiliatePortalController.php:195; app\Http\Controllers\AffiliatePortalController.php:196; app\Http\Controllers\AffiliatePortalController.php:231"
"google_analytics_id","google_analytics_id","21","app\Http\Controllers\WebsiteController.php:432; app\Http\Controllers\WebsiteController.php:457; app\Http\Controllers\WebsiteController.php:458; app\Models\Website.php:17; resources\views\index.blade.php:5057; resources\views\index_two.blade.php:5608"
"guest_list_button_text","guest_list_button_text","19","app\Http\Controllers\WebsiteController.php:251; app\Http\Controllers\WebsiteController.php:524; app\Models\Website.php:22; resources\views\index.blade.php:5483; resources\views\index_two.blade.php:5978; resources\views\affiliate\public-page-clone.blade.php:4878"
"guest_tab_color","guest_tab_color","17","app\Http\Controllers\WebsiteController.php:253; app\Http\Controllers\WebsiteController.php:526; app\Models\Website.php:24; resources\views\index.blade.php:5382; resources\views\index_two.blade.php:5877; resources\views\checkout_templates\template1\index.blade.php:5383"
"guest_tab_icon","guest_tab_icon","16","app\Http\Controllers\WebsiteController.php:254; app\Http\Controllers\WebsiteController.php:527; app\Models\Website.php:25; resources\views\index.blade.php:5481; resources\views\index_two.blade.php:5976; resources\views\checkout_templates\template1\index.blade.php:5482"
"guest_tab_subtitle","guest_tab_subtitle","20","app\Http\Controllers\WebsiteController.php:166; app\Http\Controllers\WebsiteController.php:252; app\Http\Controllers\WebsiteController.php:439; app\Http\Controllers\WebsiteController.php:525; app\Models\Website.php:23; resources\views\index.blade.php:5484"
"hero_badge_1_label","hero_badge_1_label","29","app\Http\Controllers\AffiliatePortalController.php:177; app\Http\Controllers\AffiliatePortalController.php:203; app\Http\Controllers\WebsiteController.php:160; app\Http\Controllers\WebsiteController.php:225; app\Http\Controllers\WebsiteController.php:433; app\Http\Controllers\WebsiteController.php:544"
"hero_badge_1_sub","hero_badge_1_sub","29","app\Http\Controllers\AffiliatePortalController.php:178; app\Http\Controllers\AffiliatePortalController.php:204; app\Http\Controllers\WebsiteController.php:161; app\Http\Controllers\WebsiteController.php:226; app\Http\Controllers\WebsiteController.php:434; app\Http\Controllers\WebsiteController.php:545"
"hero_badge_2_label","hero_badge_2_label","29","app\Http\Controllers\AffiliatePortalController.php:179; app\Http\Controllers\AffiliatePortalController.php:205; app\Http\Controllers\WebsiteController.php:162; app\Http\Controllers\WebsiteController.php:227; app\Http\Controllers\WebsiteController.php:435; app\Http\Controllers\WebsiteController.php:546"
"hero_badge_2_sub","hero_badge_2_sub","27","app\Http\Controllers\AffiliatePortalController.php:180; app\Http\Controllers\AffiliatePortalController.php:206; app\Http\Controllers\WebsiteController.php:163; app\Http\Controllers\WebsiteController.php:228; app\Http\Controllers\WebsiteController.php:436; app\Http\Controllers\WebsiteController.php:547"
